Trial,Direction,R,I,I_e,V,V_e
6, P, 0.039,  2.50, 0.01, 39.6,  0.1
6, P, 0.045,  2.50, 0.01, 52.8,  0.1
6, P, 0.0515, 2.50, 0.01, 68.7,  0.1
6, P, 0.0575, 2.50, 0.01, 85.5,  0.1

6, P, 0.0325, 3.00, 0.01, 38.6,  0.1
6, P, 0.039,  3.00, 0.01, 54.4,  0.1
6, P, 0.045,  3.00, 0.01, 73.3,  0.1
6, P, 0.0515, 3.00, 0.01, 96.2,  0.1
6, P, 0.0575, 3.00, 0.01, 122.8, 0.1

6, P, 0.0325, 3.50, 0.01, 51.0,  0.1
6, P, 0.039,  3.50, 0.01, 71.9,  0.1
6, P, 0.045,  3.50, 0.01, 98.3,  0.1
6, P, 0.0515, 3.50, 0.01, 125.7, 0.1
6, P, 0.0575, 3.50, 0.01, 156.0, 0.1



7, P, 0.0325, 2.00, 0.01, 19.9,  0.1
7, P, 0.039,  2.00, 0.01, 26.6,  0.1
7, P, 0.045,  2.00, 0.01, 35.8,  0.1
7, P, 0.0515, 2.00, 0.01, 46.3,  0.1
7, P, 0.0575, 2.00, 0.01, 57.5,  0.1

7, P, 0.0325, 2.50, 0.01, 27.8,  0.1
7, P, 0.039,  2.50, 0.01, 38.1,  0.1
7, P, 0.045,  2.50, 0.01, 52.3,  0.1
7, P, 0.0515, 2.50, 0.01, 68.8,  0.1
7, P, 0.0575, 2.50, 0.01, 85.1,  0.1

7, P, 0.0325, 3.00, 0.01, 38.2,  0.1
7, P, 0.039,  3.00, 0.01, 53.6,  0.1
7, P, 0.045,  3.00, 0.01, 73.8,  0.1
7, P, 0.0515, 3.00, 0.01, 93.2,  0.1
7, P, 0.0575, 3.00, 0.01, 120.2, 0.1

7, P, 0.0325, 3.50, 0.01, 51.7,  0.1
7, P, 0.039,  3.50, 0.01, 71.5,  0.1
7, P, 0.045,  3.50, 0.01, 96.0,  0.1
7, P, 0.0515, 3.50, 0.01, 125.1, 0.1
7, P, 0.0575, 3.50, 0.01, 158.5, 0.1



8, P, 0.0325, 2.00, 0.01, 19.6,  0.1
8, P, 0.039,  2.00, 0.01, 26.2,  0.1
8, P, 0.045,  2.00, 0.01, 34.7,  0.1
8, P, 0.0515, 2.00, 0.01, 46.3,  0.1
8, P, 0.0575, 2.00, 0.01, 56.8,  0.1

8, P, 0.0325, 2.50, 0.01, 27.3,  0.1
8, P, 0.039,  2.50, 0.01, 39.9,  0.1
8, P, 0.045,  2.50, 0.01, 52.8,  0.1
8, P, 0.0515, 2.50, 0.01, 68.2,  0.1
8, P, 0.0575, 2.50, 0.01, 85.6,  0.1

8, P, 0.0325, 3.00, 0.01, 38.6,  0.1
8, P, 0.039,  3.00, 0.01, 54.4,  0.1
8, P, 0.045,  3.00, 0.01, 72.1,  0.1
8, P, 0.0515, 3.00, 0.01, 94.5,  0.1
8, P, 0.0575, 3.00, 0.01, 117.2, 0.1

8, P, 0.0325, 3.50, 0.01, 50.7,  0.1
8, P, 0.039,  3.50, 0.01, 70.5,  0.1
8, P, 0.045,  3.50, 0.01, 96.1,  0.1
